Name,Nation,Rank,Points
KILDE Aleksander Aamodt,NOR,1,1'202
PINTURAULT Alexis,FRA,2,1'148
KRISTOFFERSEN Henrik,NOR,3,1'041
MAYER Matthias,AUT,4,916
KRIECHMAYR Vincent,AUT,5,794
FEUZ Beat,SUI,6,792
CAVIEZEL Mauro,SUI,7,669
JANSRUD Kjetil,NOR,8,665
DRESSEN Thomas,GER,9,602
MEILLARD Loic,SUI,10,579
PARIS Dominik,ITA,11,556
NOEL Clement,FRA,12,550
YULE Daniel,SUI,13,495
ZUBCIC Filip,CRO,14,475
MUFFAT-JEANDET Victor,FRA,15,465
KRANJEC Zan,SLO,16,445
ODERMATT Marco,SUI,17,434
SCHWARZ Marco,AUT,18,414
CLAREY Johan,FRA,19,405
COCHRAN-SIEGLE Ryan,USA,20,375
NESTVOLD-HAUGEN Leif Kristian,NOR,21,337
FORD Tommy,USA,22,325
ZENHAEUSERN Ramon,SUI,23,323
GANONG Travis,USA,24,309
FOSS-SOLEVAAG Sebastian,NOR,25,297
CASSE Mattia,ITA,26,296
BRAATHEN Lucas,NOR,27,284
JANKA Carlo,SUI,28,277
FAIVRE Mathieu,FRA,29,249
ALLEGRE Nils,FRA,30,243
MYHRER Andre,SWE,31,234
CAVIEZEL Gino,SUI,32,231
HINTERMANN Niels,SUI,33,216
MUZATON Maxence,FRA,34,213
TONETTI Riccardo,ITA,35,206
DANKLMAIER Daniel,AUT,36,202
SANDER Andreas,GER,37,195
MATT Michael,AUT,38,192
LEITINGER Roland,AUT,39,176
KHOROSHILOV Alexander,RUS,40,174
DE ALIPRANDINI Luca,ITA,41,173
WINDINGSTAD Rasmus,NOR,42,171
STRASSER Linus,GER,43,167
SCHMID Alexander,GER,44,165
LIGETY Ted,USA,44,165
MAURBERGER Simon,ITA,44,165
THEAUX Adrien,FRA,47,163
BENNETT Bryce,USA,48,161
VINATZER Alex,ITA,49,160
LUITZ Stefan,GER,50,158
REICHELT Hannes,AUT,51,155
MURISIER Justin,SUI,52,154
FRANZ Max,AUT,52,154
HADALIN Stefan,SLO,54,152
NYMAN Steven,USA,55,150
READ Erik,CAN,56,145
RYDING Dave,GBR,57,144
FELLER Manuel,AUT,58,141
FAVROT Thibaut,FRA,59,137
GSTREIN Fabio,AUT,60,134
BAUMANN Romed,GER,61,133
TRIKHICHEV Pavel,RUS,62,131
BUZZI Emanuele,ITA,62,131
SARRAZIN Cyprien,FRA,64,129
KRYENBUEHL Urs,SUI,64,129
SEJERSTED Adrian Smiseth,NOR,64,129
JAKOBSEN Kristoffer,SWE,67,128
WALDER Christian,AUT,68,127
TUMLER Thomas,SUI,69,124
BAILET Matthieu,FRA,70,121
HAUGAN Timon,NOR,71,120
MOELGG Manfred,ITA,72,119
GRANGE Jean-Baptiste,FRA,73,117
FERSTL Josef,GER,74,109
CATER Martin,SLO,75,93
PERTL Adrian,AUT,76,92
NEF Tanguy,SUI,77,89
STRIEDINGER Otmar,AUT,78,88
OLSSON Matts,SWE,79,81
PHILP Trevor,CAN,80,77
ROULIN Gilles,SUI,80,77
GROSS Stefano,ITA,82,76
NORDBOTTEN Jonathan,NOR,82,76
RAFFORT Nicolas,FRA,84,75
HIRSCHBUEHL Christian,AUT,85,72
RAZZOLI Giuliano,ITA,85,72
MARCHANT Armand,BEL,87,69
SCHWAIGER Dominik,GER,88,68
ROGENTIN Stefan,SUI,88,68
POPOV Albert,BUL,90,67
MARSAGLIA Matteo,ITA,90,67
GOLDBERG Jared,USA,92,65
ROENNGREN Mattias,SWE,93,63
KOSI Klemen,SLO,93,63
SCHMIDIGER Reto,SUI,95,60
AERNI Luca,SUI,96,56
CRAWFORD James,CAN,97,53
BORSOTTI Giovanni,ITA,98,52
SOLHEIM Fabian Wilkens,NOR,99,51
WEBER Ralph,SUI,99,51
